t,user,final_status,edge_id,delay
0,48,edge,3,17.771870120955874
0,65,edge,18,18.87626931615694
0,76,edge,9,83.64007711412071
0,28,edge,13,35.1611668814773
0,12,edge,15,58.430202755189825
0,42,edge,4,115.92276261610971
0,46,edge,11,64.70704346403937
0,58,edge,8,104.12714354312888
0,21,edge,5,42.27505082495566
0,28,edge,12,38.678778023623565
0,74,edge,16,94.69099066632198
0,64,edge,4,24.04603484242124
1,15,edge,6,86.51788804994433
1,38,edge,1,42.69828654046945
1,49,edge,3,40.691773444092775
1,68,edge,18,183.6209640127783
1,66,edge,15,60.16585374033152
1,78,edge,7,82.86987906063723
1,14,edge,9,95.44752520729043
1,77,edge,2,26.754586790218273
1,10,edge,8,54.65702908376618
1,73,edge,17,20.618634881156343
1,19,edge,0,31.32446747853863
1,11,edge,9,33.209747044366374
1,74,edge,13,15.424662453099872
1,2,edge,2,34.962655594906195
1,40,edge,5,119.4672973970981
1,23,edge,15,58.24448640041982
1,24,edge,7,48.25454462806425
1,50,edge,9,36.62128676196792
1,68,edge,11,89.55597162194489
1,17,edge,0,99.73258879127778
1,19,edge,8,98.17339876834966
1,8,edge,6,60.68442332655723
1,47,edge,19,81.46121752447705
1,62,edge,8,30.461192615978312
1,53,edge,17,142.76150109267164
2,71,edge,4,85.57618697178205
2,71,edge,4,98.12028082489309
2,35,edge,4,36.27786946106869
2,4,edge,14,52.99275892189175
2,45,edge,8,64.50502608612426
2,56,edge,17,158.05946143509905
2,72,edge,9,40.46086248444576
2,58,edge,8,39.79060952279493
2,76,edge,6,61.63676451400575
2,56,edge,15,154.28575189223082
2,68,edge,17,87.34029007051336
2,77,edge,14,19.60427018639594
2,17,edge,0,99.11424268038019
2,10,edge,9,130.48682565361835
2,44,edge,9,75.52904751301695
2,0,edge,13,78.02129408038367
2,47,edge,19,25.138612471516993
2,35,edge,4,38.77059008146713
2,33,edge,9,111.69993370082372
2,39,edge,8,77.9231298546822
2,21,edge,7,15.68398218225182
2,45,edge,9,35.274162307656844
2,2,edge,2,48.15365168675476
3,69,edge,1,113.02193149376214
3,43,edge,5,85.259713261052
3,13,edge,19,23.790391022664622
3,49,edge,16,94.36364528002417
3,15,edge,5,60.4558538410616
3,15,edge,5,58.2508112590413
3,58,edge,2,39.76123612058481
3,47,edge,7,52.150614845832685
3,0,edge,6,19.25782542591055
3,40,edge,12,41.342895913936694
3,66,edge,3,27.815451708922687
3,19,edge,14,66.88674612605199
3,48,edge,3,30.85671131723235
3,36,edge,7,146.04016008941457
3,18,edge,18,24.565663233204557
3,14,edge,6,78.14117403844416
3,13,edge,19,23.168429897547973
3,9,edge,0,119.61132871618337
3,12,edge,9,79.20558603560544
3,27,edge,7,98.67741942037279
3,58,edge,14,82.60948240560518
3,16,edge,12,39.034883533649754
3,77,edge,14,42.71189467328592
3,2,edge,8,66.1573125922127
3,64,edge,4,41.24171852015071
3,66,edge,13,24.34502470705639
3,51,edge,9,150.84886181971746
4,62,edge,18,64.82055016836236
4,55,edge,14,71.34877144072117
4,10,edge,2,55.92085570546568
4,24,edge,5,19.828915219608785
4,62,edge,0,16.098419067208795
4,1,edge,6,54.24581088119373
4,58,edge,2,34.90267453498715
4,9,edge,18,31.183125561698013
4,41,edge,3,86.1090062362252
4,57,edge,6,47.03183133968226
4,20,edge,11,71.7595613282554
4,73,edge,18,59.03371070321857
4,9,edge,18,21.32920621401978
4,69,edge,4,34.105090425541256
4,64,edge,4,36.371030570349006
4,67,edge,3,161.475387211824
4,23,edge,6,49.24060221456442
4,29,edge,3,56.495311585860115
4,36,edge,7,102.36698811453564
4,5,edge,11,91.63911216890659
4,63,edge,4,18.246386945961174
4,59,edge,14,35.272854411507225
4,32,edge,9,38.4669338059656
4,48,edge,13,74.88493735289342
5,76,edge,5,60.47566590686967
5,9,edge,18,41.275495400965355
5,65,edge,0,27.90757436353603
5,52,edge,9,33.90866400793896
5,44,edge,17,139.7882817750729
5,60,edge,11,14.664664442891977
5,21,edge,5,21.92119670012941
5,62,edge,18,67.67190605086238
5,39,edge,0,32.65644690764936
5,2,edge,2,57.2641727829541
5,11,edge,18,60.715201174279585
5,54,edge,5,53.15871117181069
5,62,edge,0,41.50706595998254
5,75,edge,2,132.16709066473302
5,29,edge,1,29.993730928552473
5,28,edge,19,24.245774468488303
5,49,edge,3,16.369570653800896
5,27,edge,9,116.75342158463816
5,62,edge,0,37.17378618807833
5,42,edge,15,112.74389210399175
5,29,edge,16,47.36967613964676
6,14,edge,5,35.715316571246625
6,77,edge,2,13.50287235811764
6,52,edge,8,53.46159958517368
6,28,edge,12,39.799444710937586
6,18,edge,17,37.85485818746694
6,74,edge,16,26.944987813385644
6,60,edge,17,26.924499200622535
6,52,edge,9,107.7026677604881
6,23,edge,6,24.093581491812785
6,15,edge,7,69.82958903969704
6,79,edge,2,79.92148683905629
6,24,edge,7,18.88344279514156
6,28,edge,12,27.094612881921982
6,74,edge,16,66.55009230804467
6,24,edge,7,24.813563753316824
6,23,edge,9,88.70490724218602
6,73,edge,18,76.07528069508051
6,48,edge,3,23.192770893669618
6,17,edge,0,66.23825127590902
6,48,edge,3,27.563855148734305
6,28,edge,12,22.542765923468266
6,1,edge,6,15.586341055698886
6,11,edge,18,60.60139699537024
6,73,edge,11,26.997758170070746
6,75,edge,6,119.87219756482452
6,36,edge,2,54.97227390006815
6,12,edge,6,79.5659013302526
7,4,edge,14,51.95238788468229
7,42,edge,4,77.65456806697185
7,43,edge,12,41.222098586476584
7,41,edge,4,14.578524842491095
7,50,edge,8,42.64558867576067
7,72,edge,11,180.78818952792625
7,75,edge,7,79.89896336042551
7,72,edge,9,115.64320497547573
7,36,edge,2,57.43645578179944
7,75,edge,7,52.94777211630707
7,49,edge,3,17.95972422549704
7,35,edge,4,61.75950384068253
7,62,edge,8,75.17149039676809
7,31,edge,17,122.57168367932421
7,44,edge,11,79.11607786340633
7,17,edge,2,62.860903730151044
7,18,edge,18,47.32643282094083
7,2,edge,0,114.17303517040142
7,61,edge,13,28.205024164198818
7,5,edge,18,49.434073849407284
7,77,edge,14,41.39777424328982
7,59,edge,7,182.7745808000938
7,30,edge,4,47.14832646727375
7,73,edge,17,46.90351117095784
7,47,edge,7,42.714365940359855
7,75,edge,9,149.7296451890756
8,35,edge,16,135.57595690892416
8,60,edge,11,31.646314932307877
8,67,edge,3,138.886943930047
8,37,edge,2,74.06874998623293
8,38,edge,1,27.163237061420972
8,31,edge,18,33.62457538873244
8,69,edge,9,118.71416758744652
8,3,edge,11,32.0006099985716
8,22,edge,18,73.56435287671465
8,12,edge,9,59.98720767620484
8,13,edge,19,57.82188876641136
8,64,edge,4,34.44373262887229
8,67,edge,3,113.00373673256513
8,13,edge,13,70.80801614003744
8,52,edge,0,48.09021675333889
8,7,edge,16,36.5458662718394
8,22,edge,17,49.03697371469918
8,31,edge,0,32.52423524800691
8,3,edge,11,78.65891203561162
8,63,edge,4,19.78190004678844
8,16,edge,12,20.167993836492762
8,33,edge,15,33.8388126040474
9,69,edge,15,48.90554741242709
9,48,edge,3,22.153180029526435
9,70,edge,18,42.91099989624091
9,63,edge,4,22.255164063665994
9,69,edge,9,49.124720726058314
9,67,edge,4,22.47965841758769
9,58,edge,2,56.18318802319863
9,5,edge,18,33.49281054062203
9,22,edge,11,24.330179081471545
9,69,edge,16,71.78087177181783
9,22,edge,8,67.63418368530598
9,62,edge,8,91.86632135858358
9,12,edge,9,22.596729805123733
9,60,edge,17,82.60969110040692
9,2,edge,14,31.261146651886364
9,9,edge,18,19.825106971251582
9,41,edge,4,40.15425307494655
9,37,edge,5,67.52335072425889
9,46,edge,11,96.37175561862271
9,51,edge,8,84.87642557648174
9,58,edge,14,91.15118158985818
9,51,edge,9,150.9189779366688
9,6,edge,19,66.82762242622564
9,14,edge,9,92.3612740090696
9,13,edge,19,36.01522816520175
9,22,edge,18,63.85897831985288
9,1,edge,6,45.10687778333546
9,14,edge,9,67.44042231520197
9,47,edge,19,82.66188752341601
10,76,edge,14,221.1797203286534
10,72,edge,18,169.0762060975812
10,77,edge,14,19.825502602264617
10,15,edge,5,69.28431028202675
10,22,edge,17,25.457572602160738
10,5,edge,9,123.85171293745346
10,32,edge,8,51.58322364711245
10,58,edge,2,56.353905470471354
10,5,edge,18,81.0262286806891
10,61,edge,13,22.493406581681153
10,55,edge,0,51.173725703448206
10,11,edge,9,55.371887392073106
10,71,edge,4,48.52913860997126
10,57,edge,9,42.74020306337065
10,58,edge,0,114.9113973201289
10,77,edge,14,29.29545215788535
10,67,edge,4,35.263704315308175
10,18,edge,18,34.570036085148914
10,36,edge,7,65.02889435244417
10,22,edge,11,54.08178871665255
10,77,edge,2,36.02967127839033
11,35,edge,15,31.001137473698947
11,32,edge,8,93.79625204252217
11,52,edge,0,44.07576426293089
11,3,edge,17,128.07528145888347
11,78,edge,7,114.46239025921594
11,39,edge,18,40.119640691313144
11,17,edge,14,32.897945402266544
11,25,edge,9,39.85488129282406
11,10,edge,2,71.56283665956575
11,38,edge,16,57.345821533400006
11,6,edge,12,33.58013775734625
11,0,edge,6,42.16341085974641
11,31,edge,18,40.297950401536134
11,57,edge,9,37.8244597430687
11,62,edge,0,13.614148139169993
11,74,edge,13,50.19414692171002
11,47,edge,7,36.98475389998434
11,8,edge,6,67.75645668895027
11,56,edge,11,184.6977651256714
11,42,edge,15,71.0369046046896
11,50,edge,8,23.717915894364406
11,31,edge,0,52.49255292938497
11,28,edge,19,39.22598381412903
11,33,edge,15,25.80044161963965
11,8,edge,6,30.691383891811135
11,72,edge,11,169.01609960197803
12,7,edge,15,38.29270733811147
12,59,edge,2,42.90221358617931
12,79,edge,9,107.14187579644388
12,12,edge,6,61.73311586833489
12,6,edge,12,32.65165881703391
12,31,edge,18,40.59146197357471
12,65,edge,18,25.285471438888948
12,30,edge,4,32.80218290669177
12,76,edge,9,99.21398518356072
12,2,edge,14,26.406075775214283
12,59,edge,5,82.0064027545728
12,19,edge,0,73.19460746761018
12,26,edge,0,20.5511055898266
12,56,edge,17,64.22645649789749
12,33,edge,15,24.816190289430047
12,27,edge,5,67.47689223413013
12,71,edge,15,125.52243501559317
12,28,edge,12,27.78312222157972
12,0,edge,6,44.358341261048395
12,43,edge,19,51.96713743346525
12,55,edge,0,59.65789877961841
12,48,edge,3,38.35008413009025
13,76,edge,9,57.960027722927364
13,51,edge,2,60.29565120145091
13,78,edge,7,103.06164714268424
13,76,edge,9,89.98578787716758
13,72,edge,17,62.60459393499716
13,78,edge,7,109.57130946962397
13,73,edge,17,35.79683025205413
13,14,edge,9,99.9548906212938
13,35,edge,4,19.425481847652705
13,7,edge,6,61.138467330045785
13,15,edge,7,33.614429441509515
13,71,edge,15,117.2740191192898
13,71,edge,15,69.80603734893576
13,56,edge,17,172.6136579010349
13,69,edge,15,27.03065648680553
13,24,edge,12,101.74695017877718
13,45,edge,8,45.21717173167522
13,30,edge,4,38.891922747892814
13,11,edge,17,71.12963908920969
13,0,edge,13,75.29130247564552
13,34,edge,9,30.89541339636569
13,58,edge,0,81.06224212803768
13,29,edge,13,53.31078790749074
13,68,edge,17,53.97116206677645
13,67,edge,4,83.45523681973505
14,4,edge,14,48.29892393851604
14,72,edge,8,67.05286550933201
14,59,edge,7,72.13446968784253
14,60,edge,11,27.709530945151865
14,30,edge,4,35.58560663322517
14,46,edge,18,154.67098331372105
14,35,edge,15,58.368052973631805
14,30,edge,3,123.01976758683762
14,18,edge,18,35.029913537890664
14,51,edge,9,47.70651481516345
14,41,edge,6,227.30675389966186
14,44,edge,11,50.29597917122319
14,41,edge,4,38.91940463293983
14,73,edge,17,27.076645639739304
14,21,edge,5,29.0110304103106
14,41,edge,1,50.81027619924617
14,50,edge,8,35.05254314846022
14,55,edge,0,38.36066017332796
14,31,edge,18,55.58680569259246
15,12,edge,6,82.09703088402037
15,51,edge,2,78.91989688426465
15,30,edge,4,28.09115643470374
15,69,edge,6,128.3919216676924
15,5,edge,18,28.99427637932712
15,62,edge,0,18.150780087481323
15,41,edge,15,68.00764251646554
15,70,edge,17,59.425649708320414
15,18,edge,18,25.878569187641652
15,7,edge,6,96.15669299638445
15,72,edge,11,112.13480648070329
15,75,edge,7,68.93128363458628
15,55,edge,0,60.02767772143619
15,11,edge,9,76.95269563639926
15,21,edge,19,82.79527077151967
15,16,edge,19,18.230802966347973
15,5,edge,11,146.27719484780621
15,25,edge,15,178.94449077862208
15,1,edge,13,53.16036399168919
15,39,edge,18,79.72683323693524
15,48,edge,3,24.62403591300087
15,72,edge,17,146.29875736608432
15,42,edge,4,53.088848165492706
15,8,edge,6,26.123211621864826
15,52,edge,8,56.447261473804694
15,12,edge,6,67.10326599862239
16,27,edge,7,77.06658411797181
16,18,edge,17,38.68064129913986
16,45,edge,9,76.86498189310052
16,67,edge,4,22.160327194264067
16,61,edge,12,44.3391590874977
16,21,edge,7,31.674316046626153
16,5,edge,17,50.27441624298891
16,29,edge,1,51.43903787689274
16,70,edge,11,78.76661369416681
16,45,edge,0,41.208239767070744
16,49,edge,3,25.3107222268714
16,42,edge,17,69.75002295134169
16,21,edge,5,28.478866500450863
16,64,edge,4,55.171731040987034
16,4,edge,14,23.96996695810972
16,39,edge,8,83.60864548848956
16,35,edge,15,73.49857798393666
16,52,edge,9,39.07672059816587
16,71,edge,17,85.87430866313625
16,30,edge,4,14.310283449250388
16,36,edge,7,77.08346574953309
16,28,edge,13,26.336541939037325
16,37,edge,7,64.3152019670039
17,29,edge,3,103.68295526566735
17,23,edge,9,83.36405489325227
17,44,edge,17,156.87628827008513
17,47,edge,19,65.9790245527344
17,45,edge,8,20.311890691442592
17,18,edge,17,58.88399396249383
17,66,edge,3,33.533501250466415
17,20,edge,11,61.167425927227015
17,51,edge,0,115.26604465940532
17,1,edge,5,79.12900673286458
17,24,edge,7,22.428617857747206
17,34,edge,9,25.995953126538616
17,44,edge,17,50.76217365826082
17,72,edge,9,149.48536720358877
17,25,edge,9,34.59354023999468
17,67,edge,4,79.26889778912164
17,5,edge,18,78.31120615901732
17,61,edge,12,18.737419194666142
17,55,edge,0,65.99674982620093
17,20,edge,18,87.07082451009282
17,2,edge,0,66.68260159122094
17,24,edge,7,29.612019375001726
17,14,edge,9,39.15265685270883
17,50,edge,18,83.53573576661866
17,45,edge,14,142.61125194016392
18,42,edge,15,80.97768197627947
18,20,edge,17,21.956160190499443
18,17,edge,0,70.2906699172155
18,73,edge,18,66.26031017128551
18,36,edge,7,140.88213828613684
18,74,edge,13,39.541556908703534
18,76,edge,9,64.0214459629391
18,45,edge,0,108.29531178013055
18,71,edge,4,151.94111994419325
18,21,edge,5,36.92938974626144
18,14,edge,9,75.10535612085579
18,30,edge,4,46.55897142752779
18,1,edge,13,41.152204063010686
18,15,edge,7,63.39784180507696
18,75,edge,2,126.12933334536832
18,50,edge,8,25.592237854180716
18,11,edge,18,71.25449591376022
18,31,edge,0,18.520106030148547
18,48,edge,3,35.1037133477131
18,44,edge,11,176.96524084575006
18,53,edge,8,128.7935964751028
18,5,edge,18,74.89553235756519
18,49,edge,4,85.72353551818806
19,31,edge,0,43.989718969487534
19,70,edge,11,34.21271557728154
19,36,edge,2,55.3530644908835
19,19,edge,0,27.94129657645538
19,5,edge,18,59.24079246511587
19,50,edge,9,46.0402836092038
19,29,edge,12,79.07783969039636
19,61,edge,19,61.512591878657744
19,34,edge,15,28.955396022140974
19,29,edge,13,37.35567456754626
19,38,edge,4,33.82084707815789
19,64,edge,4,54.219987977010625
19,36,edge,7,80.64638023648297
19,44,edge,11,142.07600315228643
19,70,edge,17,61.3197898385549
19,57,edge,9,42.25079942154419
19,54,edge,5,38.586592281451246
19,21,edge,19,43.121984042025936
19,12,edge,9,66.9518281450815
19,65,edge,18,15.84415175622773
19,13,edge,12,54.40166268337733
19,36,edge,2,45.01549669037342
19,9,edge,8,32.174765769984035
19,13,edge,6,155.78857646883316
19,10,edge,2,34.59094040564844
