t,user,final_status,edge_id,delay
0,38,edge,10,64.95098043831139
0,57,edge,0,87.9976428210004
0,50,edge,9,49.77643941474224
0,13,edge,19,62.67298583009672
0,26,edge,15,58.522264919020465
0,78,edge,10,35.48038016310608
0,50,edge,14,62.31526521322385
0,15,edge,8,25.699957319955537
0,67,edge,13,18.552429142437358
0,36,edge,5,75.89974960335752
0,28,edge,14,58.33053977641072
0,73,edge,10,94.44992858260319
0,22,edge,3,44.10601819494138
0,23,edge,13,28.389530765582823
0,36,edge,10,43.63880954270339
0,59,edge,12,98.7985945838554
0,61,edge,0,80.57894832944902
0,6,edge,10,64.5745457110287
0,60,edge,15,87.57063658572632
0,12,edge,5,47.45109272307621
0,13,edge,19,18.419680526899217
0,28,edge,14,29.200897345258348
0,6,edge,0,34.26699792457073
0,69,edge,3,19.050913871662377
0,42,edge,14,127.8639137118567
0,27,edge,0,60.74431645757834
0,51,edge,15,49.20438445540498
0,38,edge,2,83.21484597070388
0,51,edge,9,116.80781141546616
0,57,edge,0,92.06541473912358
0,77,edge,10,59.622833145413054
0,60,edge,9,30.110631887896243
0,30,edge,3,77.90224826133745
0,9,edge,0,43.42985143622201
0,41,edge,19,28.609298362049817
0,73,edge,10,90.72360660505116
0,0,edge,0,52.066866864339566
0,4,edge,16,43.07016004443973
0,29,edge,10,36.69558762437191
1,2,edge,1,99.930076860061
1,67,edge,4,46.51775226768102
1,75,edge,18,31.025083924208694
1,61,edge,0,23.70589762182405
1,71,edge,7,18.4042697699732
1,7,edge,11,31.010141665401168
1,35,edge,12,42.51496438477461
1,78,edge,10,54.83443052822331
1,30,edge,0,91.03911781381647
1,54,edge,2,31.351273050155914
1,33,edge,5,39.955009941139224
1,22,edge,7,40.97192519236449
1,3,edge,5,53.74903818190658
1,64,edge,10,26.446331151749423
1,3,edge,11,68.3898858169679
1,57,edge,0,58.13893540257123
1,0,edge,0,21.1282366832515
1,37,edge,10,124.57192037257293
1,18,edge,0,21.14862849726351
1,60,edge,14,61.02307582569419
1,40,edge,3,45.963081087007694
2,41,edge,8,95.51365774948329
2,9,edge,10,96.69710528545045
2,12,edge,15,58.9932888559423
2,21,edge,7,61.98643948892731
2,67,edge,13,49.82536705816462
2,56,edge,17,72.19931563916514
2,15,edge,12,86.05371984372607
2,6,edge,0,17.27830286778619
2,44,edge,18,64.9921808250744
2,13,edge,6,53.49224204100518
2,38,edge,10,27.95614412778923
2,40,edge,14,20.747747809497348
2,77,edge,10,26.103008893427603
2,2,edge,1,67.80102225950849
2,46,edge,18,46.08279516712933
2,61,edge,0,46.806127571387876
2,3,edge,16,65.91540805004408
2,69,edge,3,65.13197942915939
2,76,edge,13,45.76203996130128
2,45,edge,12,25.89430001545751
2,36,edge,10,49.78101442152144
2,55,edge,10,22.331648449569354
2,34,edge,0,27.182511474549045
3,18,edge,0,13.956190008073417
3,67,edge,13,16.985496104350055
3,39,edge,8,140.97831546161996
3,22,edge,3,32.0825201427156
3,65,edge,18,33.3235929570686
3,25,edge,12,41.23583492076748
3,27,edge,10,93.68084593441222
3,9,edge,0,37.722577711280415
3,69,edge,3,43.16291826775454
3,56,edge,4,37.43091201278334
3,13,edge,18,43.44950780183666
3,9,edge,0,23.93730642114683
3,48,edge,10,57.04201086806148
3,30,edge,0,60.25281256576669
3,37,edge,0,34.555349734284135
3,60,edge,14,35.765457902428714
3,72,edge,0,40.220895815324226
3,18,edge,0,32.88547048620357
3,4,edge,15,54.117252164235495
3,14,edge,8,17.575536636266456
3,48,edge,2,28.977252097893313
3,40,edge,14,48.38530242914194
3,74,edge,5,54.44671987777977
3,67,edge,13,35.09430368933631
3,37,edge,0,26.26144961700078
3,25,edge,19,92.81609169970284
3,36,edge,10,37.164689612410314
3,54,edge,1,94.81946145220509
4,73,edge,6,38.76257699836379
4,8,edge,4,60.826088899193614
4,41,edge,18,89.09644392812743
4,50,edge,14,41.96755728996556
4,18,edge,10,81.12718372281775
4,34,edge,10,156.4230597158892
4,25,edge,5,84.09261483453464
4,15,edge,8,38.5841926532658
4,3,edge,5,69.37057933886783
4,60,edge,14,35.45060696219525
4,73,edge,1,41.294852933170716
4,17,edge,17,53.7141399680949
